TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.74,337458,635475,325398,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xE0 0x00 0x00 0x00 0x00 0x00 0x00
0.745,337459,635451,325334,,,,,,,,,,,,,,,,,,,,,,,
0.75,337452,635392,325299,,,,,,,,,,,,,,,,,,,,,,,
0.755,337460,635347,325278,,,,,,,,,,,,,,,,,,,,,,,
0.76,337464,635341,325199,,,,,,,,,,,,,,,,,,,,,,,
0.765,337453,635320,325173,,,,,,,,,,,,,,,,,,,,,,,
0.77,337462,635315,325165,,,,,,,,,,,,,,,,,,,,,,,
0.775,337460,635326,325185,,,,,,,,,,,,,,,,,,,,,,,
0.78,337469,635365,325239,,,,,,,,,,,,,,,,,,,,,,,
0.785,337457,635384,325265,,,,,,,,,,,,,,,,,,,,,,,
0.79,337453,635411,325261,,,,,,,,,,,,,,,,,,,,,,,
0.792776,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.795,337456,635438,325310,,,,,,,,,,,,,,,,,,,,,,,
0.8,337463,635473,325320,,,,,,,,,,,,,,,,,,,,,,,
0.805,337453,635441,325311,,,,,,,,,,,,,,,,,,,,,,,
0.81,337450,635479,325283,,,,,,,,,,,,,,,,,,,,,,,
0.815,337450,635449,325290,,,,,,,,,,,,,,,,,,,,,,,
0.82,337455,635417,325258,,,,,,,,,,,,,,,,,,,,,,,
0.825,337457,635370,325203,,,,,,,,,,,,,,,,,,,,,,,
0.83,337447,635363,325163,,,,,,,,,,,,,,,,,,,,,,,
0.835,337464,635336,325129,,,,,,,,,,,,,,,,,,,,,,,
0.84,337449,635335,325120,,,,,,,,,,,,,,,,,,,,,,,
0.845,337453,635336,325150,,,,,,,,,,,,,,,,,,,,,,,
0.85,337457,635331,325147,,,,,,,,,,,,,,,,,,,,,,,
0.855,337453,635353,325138,,,,,,,,,,,,,,,,,,,,,,,
0.86,337448,635379,325174,,,,,,,,,,,,,,,,,,,,,,,
0.865,337446,635386,325206,,,,,,,,,,,,,,,,,,,,,,,
