TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
1.0,337331,749433,362178,,,,,,,,,,,,,,,,,,,,,,,
1.005,337333,749452,362167,,,,,,,,,,,,,,,,,,,,,,,
1.01,337336,749479,362228,,,,,,,,,,,,,,,,,,,,,,,
1.015,337327,749504,362221,,,,,,,,,,,,,,,,,,,,,,,
1.02,337330,749499,362264,,,,,,,,,,,,,,,,,,,,,,,
1.025,337331,749542,362264,,,,,,,,,,,,,,,,,,,,,,,
1.03,337330,749558,362343,,,,,,,,,,,,,,,,,,,,,,,
1.035,337336,749594,362359,,,,,,,,,,,,,,,,,,,,,,,
1.04,337330,749607,362408,,,,,,,,,,,,,,,,,,,,,,,
1.045,337333,749646,362425,,,,,,,,,,,,,,,,,,,,,,,
1.05,337330,749643,362436,,,,,,,,,,,,,,,,,,,,,,,
1.055,337329,749682,362482,,,,,,,,,,,,,,,,,,,,,,,
1.06,337331,749721,362540,,,,,,,,,,,,,,,,,,,,,,,
1.065,337334,749716,362511,,,,,,,,,,,,,,,,,,,,,,,
1.07,337327,749742,362602,,,,,,,,,,,,,,,,,,,,,,,
1.075,337326,749769,362586,,,,0,100.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,
1.08,337329,749771,362603,,,,,,,,,,,,,,,,,,,,,,,
1.085,337332,749787,362620,,,,,,,,,,,,,,,,,,,,,,,
1.09,337335,749808,362657,,,,,,,,,,,,,,,,,,,,,,,
1.095,337326,749791,362682,,,,,,,,,,,,,,,,,,,,,,,
1.095985,,,,-1727,193,865,,,,,,,,,,,,,,,,,,,,
1.1,337325,749812,362699,,,,,,,,,,,,,,,,,,,,,,,
1.105,337326,749856,362686,,,,,,,,,,,,,,,,,,,,,,,
1.11,337327,749827,362705,,,,,,,,,,,,,,,,,,,,,,,
1.115,337332,749849,362728,,,,,,,,,,,,,,,,,,,,,,,
1.12,337325,749885,362712,,,,,,,,,,,,,,,,,,,,,,,
1.125,337324,749896,362738,,,,,,,,,,,,,,,,,,,,,,,
1.13,337324,749890,362783,,,,,,,,,,,,,,,,,,,,,,,
1.135,337322,749922,362782,,,,,,,,,,,,,,,,,,,,,,,
1.14,337323,749940,362828,,,,,,,,,,,,,,,,,,,,,,,
1.145,337328,749964,362847,,,,,,,,,,,,,,,,,,,,,,,
1.15,337321,749989,362857,,,,,,,,,,,,,,,,,,,,,,,
1.155,337336,749987,362891,,,,,,,,,,,,,,,,,,,,,,,
1.16,337329,750032,362954,,,,,,,,,,,,,,,,,,,,,,,
1.165,337337,750049,362949,,,,,,,,,,,,,,,,,,,,,,,
1.17,337322,750064,362966,,,,,,,,,,,,,,,,,,,,,,,
1.175,337332,750068,362975,,,,,,,,,,,,,,,,,,,,,,,
1.18,337331,750079,363007,,,,,,,,,,,,,,,,,,,,,,,
1.185,337339,750107,363065,,,,,,,,,,,,,,,,,,,,,,,
1.19,337335,750127,363080,,,,,,,,,,,,,,,,,,,,,,,
1.195,337334,750127,363072,,,,,,,,,,,,,,,,,,,,,,,
1.19802,,,,-1727,193,961,,,,,,,,,,,,,,,,,,,,
1.2,337333,750141,363081,,,,,,,,,,,,,,,,,,,,,,,
1.205,337331,750165,363128,,,,,,,,,,,,,,,,,,,,,,,
1.21,337329,750197,363165,,,,,,,,,,,,,,,,,,,,,,,
1.215,337334,750214,363170,,,,,,,,,,,,,,,,,,,,,,,
